rating,date,shop,title,verified_reviews
3.0,a month ago,Best Buy,Good Product...But I Got a Lemon,"My Echo Dot 3 output jack (3.5mm) failed 6 months after I bought it. I was outside Amazon's 90 day warranty period but still figured that, given that the product was only 6 months old and pretty obviously defective (not to mention the fact that I have years of doing business with Amazon without having returned anything), Amazon might step up and replace it. No such luck. So, buyer beware. That said, I still like the Echo products (and would give this one a 5 star rating except for the failure and more to the point, Amazon's failure to stand behind their product) and even the one that ""failed"" still works as a stand-alone Echo...I just can't plug it into a bigger sound system which is what I bought it for. Electronic products tend to fail relatively soon if they're going to fail at all so I assume that mine was simply a rare anomaly. I currently have two different Echo products and both work quite well. The speakers are surprisingly good (both sound quality and volume) considering how small they are. The bigger Echo naturally sounds better than the Dot 3 but the Dot 3 isn't bad for the size and price (assuming you bought on sale at Best Buy or Amazon...$22-25 range). The microphones on the larger Echo are noticeably better than those on the Dot 3 but I can still frequently get the Dot 3 to respond from 1-2 rooms away. All in all, I saw no particular use for these things and didn't want to like them (think privacy issues). I ended up with one almost by accident and am now waiting for delivery of my third one...so, they got me. It's hard to explain because nothing do sounds all that great and yet, once you have them, they're just so darned convenient. I use them almost constantly to listen to the radio, podcasts, Amazon Music and Audible books as well as asking simple questions (weather, whether it's going to rain, time, word definitions, basic Google searches). I'm hooked...save yourself.Less"
5.0,a month ago,Best Buy,Excellent option to add Alexa capability at home,"Verdict: the Echo dot adds Alexa capability to your home, or multiple rooms, at a fantastic value Value. The Echo dot provides access to the same Alexa capabilities as all other Echo devices but at a significantly lower price. If you don't need a powerful speaker in a particular room because you don't listen to music in that room, then the Echo Dot is perfect. We added Echo dots in a couple of rooms to control home automation: lights, thermostats, and switches. Installation. Once unpacked and plugged in, the Echo Dot is immediately ready for connection. You can set it up through the Alexa app from any smart phone or tablet. Just follow the instructions to connect it to wifi and then it will just work. Sound. Despite its size, the Echo Dot sounds pretty good! If you use the ""Alexa, play music everywhere"" command, then all your Echo devices will play the same music in every room that has an Echo device. So these Echo Dots act like ambiance or surround speakers throughout the house. Functionality. I really have no complaints about the actually device. It works well, the physical buttons are practical, and the sound is good. The ring light provides useful feedback about the device listening to you or working on a request. The amplitude of light also indicates the volume level. Overall, it is a fantastic device at an incredible price. I highly recommend it, as long as you are comfortable with potential privacy implications.Less"
5.0,9 months ago,Best Buy,Echo Dot 3 Gen,"Great little device, I received it free for purchasing the Echo Show 2nd generation along with a Phillips hue light bulb, great promotion from BestBuy Includes Echo Dot (3rd gen) and Amazon Smart Plug – everything you need to start your smart home. Echo Dot is our most popular voice-controlled speaker, now with improved sound and a new design. With Echo Dot and Amazon Smart Plug, you can add voice control to any outlet. Ask Alexa to play music, answer questions, read the news, check the weather, set alarms, control compatible smart home devices, and more. Simple to set up and use—plug in, open the Alexa app, and start using your voice. With 4 far-field microphones, Alexa hears you from across the room. And with compatible Echo devices in different rooms, you can fill your whole home with music. No smart home hub required—set up routines and schedules through the Alexa app. Amazon Smart Plug is for indoor use only, works exclusively with Alexa, and must be connected through a 2.4GHz Wi-Fi network.Less"
5.0,9 months ago,Best Buy,The Amazon Echo Dot 3rd generation is great,"Back towards the end of 2018, I bought 2 of the Amazon Echo Dot 3rd generation for $50,00 at BB. When I got it home, I was surprised at the sound quality from such a little device because the sound quality is very good. I have used the device to listen to my radio stations on Pandora and my local FM music stations and my all news radio stations on the AM band. Note the device only works with your wifi; it is not a radio receiver. If you have an amazon music library you can play the music you have on amazon.com. I have used the device with some smart plugs to turn on and off electric heaters. It is a very useful device since you can ask it all kinds of questions, and it responds like Apple Siri or Google Assistant. I liked it so much, I went to BB 2 more times, each time buying 2 at a time for $50.00. I have a total of 6 of these devices in different rooms of my house: Living Room, Kitchen, 2 Bed Rooms, Bathroom where I can use it as a shower radio, and a Game Room. When you can get the device at BB 2 for $50.00 or 2 for $60.00 ($30.00 each), it is an especially good value. The device responds to queries/commands directed to Alexa, and Alexa is getting smarter all the time by amazon adding ""skills"" to what she can do. I opted for the Echo Dot in Charcoal which is very attractive. Final comments: What sold me on the device in the first place was the review on youtube by Craig's Tech Talk...On youtube look for ""New Amazon Echo Dot 3rd Generation - Unboxing and First Impressions"" where you can find out all about the device and see and hear how great it is.Less"
5.0,7 months ago,Best Buy,Surprisingly good sound for such a small speaker,"I own several 2nd generation Dots and have been using them for a couple of years. All of them are connected to external speakers because the sound quality is not good for music. But this 3rd generation model is a big step up in sound quality, and on sale, it's a really good value. I bought one on sale and was so impressed with the sound, I bought a second one (also on sale) so I could set up what Amazon calls a ""stereo pair"". Using the Alexa app on your smartphone, you pair the two devices (they must be the exact same Echo model) so that they offer real left-right stereo. This works with the streaming music services which the device supports. It does not work with Audible books, but stereo isn't really important to me for audiobooks. The stereo sound is really good for two small speakers with a total cost of about $60 (on sale). It's not as good as two full-sized Echos, of course, but at more than half the price and such a small footprint, it's very impressive. You aren't going to get room-shaking bass or crystal clear highs, but you also won't get annoying distortions, even at louder volumes. The device is larger than the previous generation, but still small enough to go almost anywhere and be very unobtrusive. I think it's the best value in the Echo line.Less"
5.0,a month ago,Best Buy,"Very nice ""assistant,"" searcher, & music source.","This Echo Dot was a pleasant addition to our recent (smart) TV purchase. After downloaded the Alexa App to a phone or tablet, it is easy to set up, and Amazon's phone support was also very helpful. Just say, ""Alexa, play Mozart (or Diana Krall, or Dave Brubeck, etc.), and if you're an Amazon Prime member, the Echo Dot will play an assortment from Amazon's extensive free music collection (or ask you to sign up for a free trial if you request something available only through an additional subscription). We found the sound to be a bit tinny, and bought a very good, inexpensive, external speaker (OontZ Angle 3) that connects by Blu-tooth, and can be used while plugged its charger is connected (saving you from having to charge the speaker after 14 hours of use). That set-up gives surprisingly good sound quality for music and responses to questions. The Echo Dot also controls our smart thermostat (and can control other smart devices and lights). All you need to do is use the Alexa App to connect the Dot to your wi-fi router, and you're all set for a nice ""assistant"" that will answer questions like, ""What is the temperature in Duluth, Minnesota? or outside now (and tonight)?"" ""Who is Lady Gaga?"" or any number of questions you might manually have to search for on the Internet.Less"
5.0,2 months ago,Best Buy,Great gift for the in-laws!,"I noticed that my in-laws recently started using a Bluetooth speaker paired with one of their phones. Since I am already sold into the Echo-system (see what I did there?), I thought the Echo Dot would be a great next step into experiencing voice assistance -especially since I know they had Prime. The Dot is well made, looks nice, with a simple interface featuring the mic on/off, volume and power. It has a fabric finish around the device that hides the speakers. The physical installation only requires to plug it in. However, one must download the app and link it to an Amazon account. I did take some time in explaining how to use it to them. However, once everything was done and set up, it was easy to show them the commands, features, etc. They especially loved that they can listen to their local radio and listen to the kind of music they love. I think I may need to show them more commands on the next visit. They did tell me it could be a bit louder and I thought that it was a bit muffled. Also, the plug may be a little too big and makes it difficult to plug in other stuff on the same wall outlet. In the end, I think the Echo Dot is a great entry to voice assistance. It's relatively easy to set up and easy to use -especially if you have Amazon Prime. It is great for small rooms such as bedrooms as the sound is not as loud. Maybe the next step for them will be the Echo Plus?Less"
3.0,3 weeks ago,Best Buy,It's OK,"The Echo Dot 3 is an attractive, compact device. It's a decent speaker with good, clear sound. Where it falls short is where you need it most. 1) Alexa's voice is WAY TOO LOUD! More often than not I find myself just unplugging at night to avoid the temptation to speak the wake word and have her blurt out at high volume like some drunk girl at a party that's already wound down. As it is dependent on wifi, any command while not connected will prompt a super loud reply, like say volume down while using the bluetooth function to stream shows or music. Same for when it connects to a device. She just yells out the device serial number. I've tried to find ways to quiet her voice level vs music and I just don't see the option anywhere. 2) For it to be a smart speaker that is compatible with smart devices it sure doesn't seem all that smart. It still needs to be manually connected to other devices that A) that are in the same network, B) have Alexa C) Have Alexa under the same account... D) Are streaming Amazon content. Feels like 2008 all over again. The Alexa app is ok but nowhere near as intuitive as it should be. 3) Echo Dot 3 is NOT a portable, speaker as it has no battery. Maybe they're saving that feature for the 4. I've never had a desktop speaker that I couldn't take with me. There are however 3rd party devices available to remedy this. Overall, like I said, decent sound device. As long as you have stable wifi and the patience to constantly adjust the volume and to the situation you should be fine with it.Less"
4.0,a month ago,Best Buy,Helped introduce me into the smart connected home,"First, I'd say to never buy these. They seem to give them away for free all the time (when bundled with a actual purchase like arlo lights or ring cameras). With that said, even if you do buy them, wait for them to be on sale because that happens all the time. We love these products. No they dont have amazing sound quality, but they work great to create a smart connected home. They are a low profile and affordable way to put alexa everywhere in your house so no matter where you are you can issue commands to trigger routines or functions, check weather, facts, or to send messages. We use bigger echos to pump out higher sound, but we place these in rooms we dont use as often to help create whole home audio when cleaning or hosting. Theres plenty of in depth reviews about what these can actually do, so to keep this simple and shorter - they're easy to set up, easy to use, and offer amazing quality for their intended use and personally helped me realize the benefits of updating the house to a smart house - I first started with two dots, and now have several shows, echo plus, smart plugs, locks, bulbs, and cameras. The dot is a gateway drug!Less"
5.0,a month ago,Best Buy,Love Alexa,"I am really enjoying the Amazon Echo and it’s variants (dot, studio, etc). I have a variant of Echo in every room of my house (love the everywhere feature for music). It’s nice setting up programs (“routines” as they are called) to automate simple things of our daily lives. IE: Give me news and weather and some light music after I dismiss my morning alarm; make an announcement at home to my family if I am near a grocery store in case anyone needs anything; intercom’ing with my kids down stairs to tel them dinner is ready or to do their chores; having Alexa automatically ensure all lights and TVs are shut off at a set time to save on energy bills; setting the heat/AC from anywhere in the home; and much much more. The sound quality is great on each variant with the Studio being beautiful sound. My next purchase may be an Echo subwoofer to add to the depth of the Studio. All in all, the 3D sound is great. There are occasional hiccups with a speaker, but a quick power reset has fixed anything I have ran into. All in all, I love the Exhos and it’s Alexa app!Less"
