rating,date,shop,title,verified_reviews
5.0,3 months ago,lowes.com,"Great way to get started with a ""smart home""","Not only has this been fun to use, it's making my life a whole lot simpler. So, here's the scoop on this very affordable way to make your home a smart home. Google mini vs Google Home and Google Nest. Basically, it's the speaker size (and Home has a screen) as each of them basically do the same thing. The mini is a lot less expensive and this package also comes with a smart light bulb which will save you $20 right off the top. The speaker size is fine for me as I just want to listen to the music I don't need to blast it throughout the entire house. However, with that being said, if I wanted to blast it throughout the house, I would just ask Google to turn on the other speakers I've paired with the mini. Set up was easy, all you need is a smart phone to download the Google home app and do the set up, then you'll need WiFi reaching anywhere you've got a smart device you want to add and run through the mini. It's really that simple. The cool thing about having the app installed on your smart phone is that you can also run the smart devices through your phone anywhere in the world, rather than the mini. I've got the following things running through this mini. 15 lights throughout the house 6 outlets Home Security system Smart thermostat 7 speakers ( no more yelling to find people on different floors) Garage door opener Unreachable window blinds Smart refrigerator Things I'm now able to do with the mini: See inside my frig too see what I need to buy while at the store Access my grocery list Set timers while cooking Get reminders about tasks Adjust the blinds by just saying ""hey Google, close the blinds"" Leave messages for others in the home Turn on and off special lighting like Christmas trees Turn lights on and off without having to access a switch in the dark Change the temp in the house through the app or by asking the mini Arm and disarm the security system Open and close the garage door in case someone needs to get in and we're not home. Turn the TV on/off change channels, find particular movies, change volume any function you could need to do on your tv. (This uses Chromecast) Stream music Hear the current and forecasted weather without having to touch my phone Get news in real time Get answers to basically any question you can think of Communicate with others in different areas of the house without having to yell. I'm sure there are many more things I'll add as I continue learning more of what's available and adding more smart devices. All in all, I love this and have found it to be a very handy and fun item to have. The only negative thing I could add is that adding other smart light bulbs is rather costly, expect to pay $20 for EACH bulb... I definitely recommend the mini though."
5.0,3 months ago,lowes.com,Functional small speaker with big sound,"The “Smart Light Starter Kit” consists of 2 products – the Google Mini Smart Speaker and as Smart Light. You need to 1st set up the speaker in order to set up the light, unless you already have existing Google hub. Setting up the speaker was a breeze – I already had Google Home app on my phone, it recognized the speaker and in few minutes it was up and running. Setting up the light was even faster – I turned it on and the app took over and in a minute or so it was ready to go. You can assign each product to a room, which makes it easier to control down the road – i.e. “Game room”, “Bathroom”, “Tony’s room” and so on. The kit gets 5 stars for set up. The light is easily controlled both – from the app or through the Mini by using common sense commands. For example “Hey Google, set the light in the Movie Room at 30%” and the light will deem appropriately, or set it at 100% and it’ll glow at its full brightness. I tested it’s functionality by using the app on my phone while on mobile network (not on home’s WiFi and the light reacted accordingly, which comes handy if you’d like to use it while away on vacation. You should be able to set a vacation schedule as well, but I’ve not tested that yet. The only downside of the light is that it’s 60W equivalent with about 800 lumens of light output, which is OK for a small room, but in a larger room you’ll need several of these to be able to achieve the necessary brightness in the room. The Mini executes verbal commands really quick, and given the fact that I have an accent – it does a really good job! The Mini is surprisingly good speaker, given the tiny size – under 4” diameter and under 1.5” thick. It’s loud enough to fill in very large living area – it feels like you can clearly hear the music in the entire house. Google did a good job in adjusting the equalizer of the speaker as you change the volume up or down so that you don’t hear the annoying distortion that’s common at high volume for most small speakers. In my own tests I find the sweet spot to be around 60-65% of the volume. That will vary depending on source (streaming online directly from the speaker, cast from your phone or computer), type of music, and quality of the records, but in general above that level the speaker will start cutting down the lows and while the sound remains clear, you will notice the missing bass. When you lower the volume to about 40% you’ll notice amazing details and really pleasant low frequency fullness of the music. You can control the volume level with you voice by saying “Hey Google, set the volume of Game room speaker at 60%”, use the Google Home app on your phone, or use the “tap” sensitive areas on both sides of the speaker to increase or decrease it. One thing you need to keep in mind though – when you play your musing loud, you will have to communicate with your Mini much louder than normal :-) One of the best things I like about the Mini is the fact that it has a hardware click/slider button to turn the mic off or on as you wish. When you slid the button of the microphone control to “Off” position – the 4 speaker lights on top of it will turn amber color and each time you shake the speaker or turn it on it’ll tell you that “By the way, the microphone is turned off” The mini comes with a wall charger with hard wired to the plug cable with USB micro to be plugged into the speaker. The plug is rated for output of 5V at 1.8A, which in general is more than what you need for a phone and less from what you need for a tablet. Given these characteristics I tried to use the speaker as a portable speaker by plugging it into a USB battery pack that has 2A rated output. This didn’t go really smooth… - the speaker rebooted several times for no apparent reason, so I’d guess it didn’t have proper power supply. I then connected it to a “brand name” battery and it did better – played for some time, but when I cranked the volume to 90% the speaker rebooted. I’m not frustrated with this findings as the product is designed to be plugged into a 120V outlet, but would be convenient to take it with you from the office to the bathroom without interrupting you audiobook or podcast. I also used the “Google Home” app on my phone to “Call Home” and it immediately invoked “Duo” and called the Mini – very convenient (I can call my son to lower the volume of his game without leaving my bed on Sunday morning :) ) I’d definitely recommend this product. It really worked as advertized - both the speaker and the light."
5.0,8 months ago,Best Buy,Solid Combo Makes a Good Smart Home Starting Point,"If you're invested in the Google ecosystem and just starting out with smart devices this combo is a great introduction, and if you already have Google smart devices in your home then this could be a convenient way to extend coverage into additional rooms. These are Google Assistant devices so people who are already using other Google products and services will get the most out of this combo. Set up and integration between the Home Mini and the Smart Light is quick and painless - surprisingly painless, in fact. I tend to have low expectations when setting up new devices but I was glad to be proven wrong in this case. Within minutes I was controlling the light through the Home Mini, listening to my music, and playing content on a Chromecast. Prior to purchasing this combo I had used my phone to stream content from Google services and I can unequivocally say that using the Home Mini to control content selection and playback is a clearly better experience. Interactions are quick, accurate, and consistent and the default voice has a pleasantly personable quality without falling into the uncanny valley. I had been using a Gen 1 Echo Dot before purchasing this combo and I'm impressed with the quality of the Home Mini compared to the Dot. The build quality feels more substantial, I prefer the industrial design, and to my ears the Home Mini produces better sound. I've also found that the responses to general questions from Google Assistant tend to be more accurate than the responses from Alexa. Also, when using Alexa I felt as though purchases were suggested more frequently and forcefully. For example, if a specific song requested was only available through a subscription, Alexa would inform you that the song required a subscription, play a snippet of the song and then continue with a related playlist. Google Assistant, on the other hand, only made a note of the subscription requirement and went directly to a related playlist. The Smart Light is... well, it's a dimmable smart home connected soft white light bulb. It paired quickly to the Home Mini and works consistently. As far as negatives - any concerns one may have with connected home devices as a product category certainly still exist with the Home Mini. You're sending a lot of information to a third party, and your feelings about that are going to depend on how you feel about that third party. If you don't trust Google then a speaker puck and light bulb combo aren't going to change that. This is just more Google in more places, for good or ill."
1.0,2 months ago,lowes.com,I don't know what went wrong??? Bulb doesn't work,"I bought the kit on Black Friday 2019 for $20 because I couldn't pass up such a great deal and an extra two pack of the c-life bulbs priced at $9.99 from $24.99 to scatter some ""smart lights"" around the house. I got home and placed the bulb from the kit in the lamp. I followed the setup on my app for Google home as I already have the main Google device in another room of the house, so I was already familiar with the way it works. Well, the light blinked and was found by the app, but during the process, somewhere along the line, the connection dropped off. I was getting a ""something went wrong"" screen and the light bulb and app couldn't finish setup. So then I went online to see what people said about issues and potential fixes. I came across the Youtube video about resetting the bulb - because essentially it's a little computer brain in the bulb, right? Well, I kid you not, for almost two hours and different locations throughout my home, I repeated the factory reset and tried the google home setup process over, and over, and over. I turned my phone on an off, Bluetooth on and off multiple times, reset the bulb multiple times, updated my Google home app, downloaded the c-life app, all to no avail. I guess you could call me a millennial, although I argue I am in a set of micro-generations as I can't fully identify with all of the millennial attributes (lol), but my point is that due to my age and technical experience, I'm pretty good at ""internet stuff"". So the set up for this bulb to the google home mini was extremely irritating to me. The Google mini works great, I am happy with the purchase if only to get the mini at the price of $20 to add to my room, but the whole idea was to be able to control at least one light if we are away and want to appear to be at home. SO, if you take away anything from my review, it's to be prepared for an issue with the bulb at setup, watching the Youtube video for factory reset, only to be let down, and then eventually giving up and deciding the bulb will act as a bulb in the cabinet until I can muster enough patience to try this again one day. I didn't read any reviews until AFTER the setup failed...but to be honest, I would've bought it anyway at $20 :) One star since the duo doesn't work. If there was an option to add stars for value, it would be 5."
4.0,4 months ago,lowes.com,Nice if you don't mind privacy issues,"First off, let's be clear. The kit includes a smart bulb and a Google mini. You don't have to have one to use the other and I'm not sure why they say to put them in the same room. Maybe during setup but afterwards you can put them anywhere your wifi reaches. Although this review is for the Mini and smart bulb combo, since the Mini is so closely integrated with Google Home, it should be mentioned: I have twenty something devices already, other brand smart switches, plugs, and security cameras and they all integrated with no problem into the Google Home app. The Google Mini, once succesfully added to the Home app picked all the devices right up and worked perfectly. I also connected my Pandora app to the Mini for music streaming but I expect I'll use my Onkyo receiver that has Pandora built in because choosing between streaming music on a surround system versus a single little tabletop speaker... well, yeah. You can also cast from your Mini to other devices but, although I didn't test it, I'm sure it requires ChromeCast. There are not a lot of detailed directions other than basic setup and a few examples of different ways to use your Mini. When using voice commands in Google Home via the Mini, it's helpful to rename your devices to short common identifiers you can easily remember versus what title they may have in other apps. For example, my Kasa app has things listed by what they are, then by their specific name, i.e.; my living room table lamp is called ""light - living room table"". Rather than have to use that specific phrase, I can rename it within the Google Home app to just Table Lamp and use that phrase to control that lamp. The Home app separates devices by room where my other apps just list them by name so when I say ""turn on the living room table lamp"", I can have multiple table lamps in different rooms and it knows that I'm talking about the ""table lamp"" in the ""living room"". If you just say turn on the ""table lamp"" and you have multiple devices labeled ""table lamp"", it will turn them all on so you probably want to specify the room. This seems elementary but it took me a while to figure it out and maybe this will help the new user. I'm sure this little cloth covered eavesdropper does lots more. You can turn off the built in microphone with a little switch on the side, although that pretty much eliminates it's usefulness. I see where it can help me find my phone. That might be helpful when I've set it down and can't remember where."
5.0,3 months ago,lowes.com,Good smart speaker + home automation platform,"I have been using SmartThings for several years, so have much of my house automated and have been happy with the way it works (from my phone). However, I decided to give this platform a chance to compare as well as to add a smart speaker and additional smart bulb. Given this, I'm very familiar with zigbee, zwave, bluetooth, wifi smart products. I was hoping to see the automation platforms be significantly advanced from my 2nd generation SmartThings, therefore I was disappointed that it took me 3 tries to pair the bulb to the Google Home Mini. The Mini immediately recognized the light and the bulb blinked 3x, so it was recognized... but after going through the steps to add it on the app, it somehow got lost. I searched for how to reset the light and went through the process of turning it on for 8 seconds and then off for 2 seconds (repeat 5x), then tried to add again with zero success. Once again, I had to reset. 3rd time was the charm... same experience I've had with SmartThings, so I'd recommend not trying to automate your home unless you're ready to learn how to overcome the issues. It's still not as easy as plug-and-play. That said, once I got through the 3rd time, the bulb has worked perfectly. Having a smart speaker is a nice addition. Being able to ask google to turn something on and off (or dim) is nice, but I am ok with simply picking up my phone and pushing a button too. The speaker comes in handy when doing other things though, like cooking with your hands dirty and asking to set a timer, asking for a specific radio station or type of music, etc. Kids love asking it questions, but we had a couple times where we got curse words back and had to quickly stop it (there are ways to block explicit lyrics if you set it up to recognize a kids voice / set up parental controls). Overall, we like it, but we keep the microphone turned off most of the time. A little privacy is good, and that's our favorite part of the entire hub... the ability to cut off the microphones at a hardware level. Without that switch, I would have given this product 4 stars... but the microphone mute switch knocked it back up to 5."
5.0,3 months ago,lowes.com,WARNING – You’ll Want More!,"This was my first experience with any smart home tech, and I absolutely LOVE IT! Not only can you control the light bulb with simply your voice, but you also have the option to control it from an app on your phone from anywhere in the world (as long as you have internet connection to both your phone and your bulb). It should be noted that this bulb will require a constant power supply even when it’s ‘off’, for it to work properly. So, you probably won’t be using this bulb in your ceiling lights, unless you want to leave the switch on 24/7. If you are looking for that kind of control, you should look into getting a smart switch instead. This bulb is best suited in something like a bedside lamp – something that is always plugged in. I found this to be rather useful for that very purpose. Not only has this solved the fight every night about who’s going to get out of bed to turn off the light, but you can also setup routines through the Google app to automate turning on and off the light. As a practical example, I have an automated routine set to turn on the light 10 minutes before my alarm goes off every morning. This has allowed me to have already begun waking up by the time my alarm rings, which helps me to feel better rested and ready to get up instead of the normal shock that comes from being jarred awake out of a dead sleep. As far as the Google Home Mini itself, I’ve been super impressed with its volume and range. Its max volume is more than you’d ever need, even in a large open room. And, I’ve consistently had it recognize my command from the next room (when I’m shouting of course). But, that said, if you’re in the general vicinity of the device, you never really have to raise your voice for it to recognize your request. Additionally, I love the built in games, sleep sounds, news and music options, etc. This starter kit has awoken a NEED for smart home tech inside of me! I’ve already purchased a smart garage door opener, which is controlled seamlessly with the Google Home Mini. Additionally, I’m looking to purchase a couple more of these for around the house, and upgrade some of my existing ‘dumb’ light switches to smart switches. Smart Home products are no longer the way of the future… they are here now! And this package is a great starting place for anyone looking to dip their toe in the water!"
5.0,3 months ago,lowes.com,An easy way the start the home automation journey!,"With regards to my background, I have setup every room of my house with Google Assistant devices, smart lights, outlets and/or switches. I used this kit to extend that automation into one last room that was not previously in range of any of my existing voice assistants and had a lamp that I wanted to be able to both turn on/off and adjust brightness. The setup required to get this kit up and running was negligible for my situation and would be very easy for those that had no previous home automation. It took me about 5 minutes to have the room up and running with this kit. If I had to start from scratch, it might take a whole 10 minutes. Aside from this kit and and wifi, all you need is electricity and the ""Home"" app by google. The Google Home Mini is easy to install and use. Once configured (via the Home app) to your location and wifi, it is ready to start responding to your requests and instructions. Whether you are telling it to dim the lights or asking it what the current time is in Bangkok, Thailand, it is ready to respond. Honestly, the more you use it, the more you will use it. The smart light bulb looks like a standard light bulb. All you need to do is screw it into a light socket and turn the socket on, then use the Home app to discover and control it. Generally speaking, most devices that interface with either Google Home or ... the other massive online retailer's voice assistant app ... require that you setup another app (and another account) that actually controls the device. Your voice assistant would then interface with the other app in order to control the device. This works, but you will soon discover that either you need to standardize on a limited number of brands of smart devices or face having a large number of apps and accounts spread across all of your devices. Not so with the light bulb included with this kit. No additional apps are required and it sets up the interface for the Google Assistant to use. It is practically invisible to you. This makes the setup even easier and less prone to issues. Now for a dose of reality, follow the directions to setup the light bulb very precisely. I would even encourage you to read the instructions completely before starting the install (something that I seldom do). If you make a mistake installing the bulb ... and if you need to factory reset the bulb in order to start over ... be prepared for a process that is anything but obvious. In order to factory reset the bulb, you must go through a timed sequence of manually turning it on and off (it is something like ""off for 2 seconds, on for 8 seconds"" repeated 5 times followed by ""off for 2 seconds, on for 2 seconds, off for 2 seconds, then on""). The timing has to be pretty close and it took me several tries to reset my bulb after I did something that I should not have and lost my app access to the bulb. This could be extremely frustrating, but if you follow the instructions, you should not have to live through this particular purgatory. Finally, who is this kit for? My suggestions would be: apartment dwellers, those who live in dorm rooms, those that are curious about trying home automation, and, finally, those like me, that just need to extend their existing automation to another space."
4.0,3 months ago,lowes.com,Great Start Kit for Smart Home,"I am a professional geek, and I have had an Amazon Echo for years, but the Google Nest Hub Mini is currently a much better option today in my opinion. Buying a Google Nest Hub is the only way to get access to the Google Assistant, which I think is much nicer than the Amazon Echo Alexa. The Hub Mini is not perfect, but it is really a leap in the right direction. It ties in with my other Nest Thermostats too. I won't waste time on how you can get the news, weather, sports, recipes and other information right when you need them just by asking. You do need a smart phone or tablet to set up the device with Google Home App, and you can't even adjust the audio bass and treble without the App. Why can't they add some voice requests so I don't need to go find my phone or tablet just to adjust the sound? You also can't add a Nest Thermostat or smart bulb directly from the Hub, you must use a phone or tablet. It does have a touch volume control, but is awkward to use. And on the back, a mic cutoff switch. I'm hoping in another ten years the technology will catch up with our expectations, as I can't understand why I need a seperate App only on smart phones or tablets to set this up. This could be easily achieved today by just providing this as an App on a Google Chrome Book. We all would probably get more use out of a smart home laptop/tablet while still buying a Google device. I would also like it rechargeable with a wireless dock so that I can pick up the speaker and take it with me around the house. The bulbs are a natural color, but I prefer bright white instead, and are easily dimmable by voice control. I would like options in the bulb wattage for larger rooms. I nice starter kit, but still room for improvement.Less"
5.0,3 months ago,lowes.com,Amazing device,"The Google mini is an absolute necessity after having tried it. At first I did have a hard time figuring out the settings to get it to work with my contact list and finding my grocery list and some other things. Once I finally figured it out and was able to really use it to its full potential it has been amazing. I can find my phone with the ringer off and stuck in the couch somewhere by asking Google. It turns the ringer on loud and will call your phone. This is the most genius feature I have ever used on any device. That in itself is a selling point alone Lol. I can ask it to set timers, alarms, shut off lights, play music, ask it jokes, weather, the meaning of a word, calculations, text or call my husband, anything you want. It will play quiz games with you, read you a book, the list goes on. My husband and I who are 38 and 39 have never had one of these AI types of devices and I love this thing so much. I can ask it to give me a recipe on the fly, to add to my grocery list and so on. It's small, lightweight, gorgeous aesthetics, you can ask it to volume up or down without touching it or can just taps the side with your finger, it won't respond just by saying Google which is nice. You have to say hey Google or ok Google. They make it so you do need one for every room however. My living room is right next to my open kitchen and the unit is maybe 10 or so feet away but you have to yell at it for it to hear you from that distance otherwise it can hear you fine in a closer proximity without any problems. However having one in every room is not bad because then you can talk to people in other rooms by broadcasting to them or you can listen to music on all the speakers simultaneously if you chose to maybe while cleaning your house, an elegant party with a house full of guests and light music throughout, or something to that effect. Honestly I am not sure how we lived without it all this time and wouldn't want to go back. I do like utilizing it More than I ever would have for the phones Mic because you have to wake the phone, unlock the phone, and then say hey Google such and such. For me it was too much effort so I just never utilized it but this you just talk to and whatever it is, is acknowledged without having to touch anything. One thing to note is if you are using your phone and talking to the Google mini, your phone will pick up your question or command and sometimes it gets annoying. Not a deal breaker, just worth noting. I definitely want more components that go to this system in the future. It can turn the smart light on and off as well as dim to any shade needed and programmed to have different settings for different atmosphere. The cord is nice and long to plug into the wall and a quality cord. I plan on buying more bulbs to go with this. All in all I am very impressed with this unit, so much so this is definitely going g to be on a Xmas list for my 71 year old mother. I think she will get a kick out of this."
